OID,n,lat,lon,z
62,273,53.58048118,103.4524805,404.19
63,274,53.58046082,103.4526674,404.641
64,275,53.58042413,103.4529084,403.969
65,276,53.58041101,103.453098,404.544
66,277,53.58035145,103.4534122,404.518
67,278,53.58026,103.4537766,403.841
68,279,53.58024152,103.4538719,403.78
69,280,53.58026886,103.453915,403.958
70,281,53.58022466,103.4539296,403.643
71,282,53.58023083,103.4538923,402.711
72,283,53.58025275,103.4539059,403.209
73,284,53.58019486,103.4540829,403.555
74,285,53.58022479,103.4541118,403.855
75,286,53.58018839,103.4541268,403.69
76,287,53.58018978,103.4540972,402.633
77,288,53.5801556,103.4542805,403.692
78,289,53.5801522,103.4543328,403.025
79,290,53.58014583,103.4544303,403.862
80,291,53.58018247,103.454435,404.233
81,292,53.58014957,103.454494,404.19
82,293,53.5801315,103.4544773,402.546
83,294,53.58013028,103.454659,403.908
84,295,53.58020556,103.4546407,404.757
85,296,53.58016219,103.4547545,404.718
86,297,53.58010022,103.4547528,403.589
87,298,53.58009785,103.4546997,402.177
88,299,53.58013983,103.4546823,403.092
89,300,53.58019034,103.4546529,403.866
90,301,53.5800958,103.4548071,403.524
91,302,53.58008542,103.454908,402.989
92,303,53.58007191,103.4550066,403.542
93,304,53.58009905,103.4550342,403.876
94,305,53.58013996,103.4550501,404.307
95,306,53.58007618,103.4550931,404.01
96,307,53.58005965,103.4550656,403.363
97,308,53.58005776,103.45503,402.337
98,309,53.58009764,103.4550482,403.352
99,310,53.58013533,103.4550515,403.783
100,311,53.58003606,103.4551877,403.958
101,312,53.58007127,103.4552889,403.951
102,313,53.58002616,103.4552671,403.528
103,314,53.5800248,103.4552398,402.433
104,315,53.58005992,103.4552794,403.498
105,316,53.58001933,103.4593124,403.835
106,317,53.58004583,103.4590929,403.515
107,318,53.5800657,103.4589198,403.438
108,319,53.58008436,103.4587372,403.851
109,320,53.58001408,103.4586496,404.256
110,321,53.58002291,103.458613,404.368
111,322,53.58004118,103.4586176,404.21
112,323,53.58003418,103.4585961,404.336
113,324,53.58010591,103.4586327,403.89
114,325,53.58002241,103.4586353,402.576
115,326,53.58005803,103.4586481,402.163
116,327,53.58007792,103.4586638,401.411
117,328,53.58010571,103.4586887,400.912
118,329,53.58012807,103.4583246,404.249
119,330,53.58015368,103.4579269,404.302
120,331,53.58013237,103.4579162,404.524
121,332,53.58014765,103.4578941,404.454
122,333,53.58010884,103.4578634,404.587
123,334,53.58012603,103.4578428,404.502
124,335,53.58017363,103.4578134,404.145
125,336,53.58016905,103.4578605,401.839
126,337,53.58014983,103.4578515,402.196
127,338,53.58012353,103.4578642,403.604
128,339,53.58016121,103.4577713,404.424
129,340,53.58018644,103.4577379,404.336
130,341,53.5801867,103.4577707,402.869
131,342,53.58017348,103.4577672,403.354
132,343,53.58022344,103.4575171,404.901
133,344,53.58015869,103.457457,405.336
134,345,53.58016261,103.4574185,405.469
135,346,53.58023624,103.4574407,404.891
136,347,53.58022927,103.4574719,402.967
137,348,53.58021073,103.4574637,403.803
138,349,53.58018798,103.4574554,404.669
139,350,53.58030196,103.4571437,404.748
140,351,53.58027216,103.4570661,405.272
